variable	classification_P	type	datatype	dependent	direction	psytype	parent	study	uniqueVarID	classification_P_20150828_1345	rater
pros of abstinence	attitude	aggregate	numeric	cessation	consistent	determinant	NA	rijt2004.r	rijt2004.r_prosofabstinence		P
self-efficacy for abstinence	self-efficacy	aggregate	numeric	cessation	consistent	determinant	NA	rijt2004.r	rijt2004.r_selfefficacyforabstinence		P
any sibling smoking	descriptive norm	question	logical	initiation	consistent	belief	NA	rohde2003.r	rohde2003.r_anysiblingsmoking		P
initiation	behavior	question	logical	initiation	consistent	behavior	NA	rohde2003.r	rohde2003.r_initiation		P
maternal smoking	descriptive norm	question	logical	initiation	consistent	belief	NA	rohde2003.r	rohde2003.r_maternalsmoking		P
paternal smoking	descriptive norm	question	logical	initiation	consistent	belief	NA	rohde2003.r	rohde2003.r_paternalsmoking		P
aesthetics	attitude	aggregate	numeric	cessation	consistent	belief	NA	Salih1996.r	Salih1996.r_aesthetics		P
cessation status	behavior	question	logical	cessation	consistent	behavior	NA	Salih1996.r	Salih1996.r_cessationstatus		P
example setting	attitude	aggregate	numeric	cessation	consistent	belief	NA	Salih1996.r	Salih1996.r_examplesetting		P
health	risk perception	aggregate	numeric	cessation	consistent	belief	NA	Salih1996.r	Salih1996.r_health		P
I am capable of stopping	self-efficacy	aggregate	numeric	cessation	consistent	belief	NA	Salih1996.r	Salih1996.r_iamcapableofstopping		P
quitting is important	attitude	aggregate	numeric	cessation	consistent	belief	NA	Salih1996.r	Salih1996.r_quittingisimportant		P
quitting is personally relevant	moral norm	aggregate	numeric	cessation	consistent	belief	NA	Salih1996.r	Salih1996.r_quittingispersonallyrelevant		P
self-control	selfregulation	aggregate	numeric	cessation	consistent	belief	NA	Salih1996.r	Salih1996.r_selfcontrol		P
stopping is valuable	attitude	aggregate	numeric	cessation	consistent	belief	NA	Salih1996.r	Salih1996.r_stoppingisvaluable		P
Craving-Negative Reinforcement	pending	aggregate	numeric	cessation	inconsistent	belief	NA	schnoll2011.r	schnoll2011.r_cravingnegativereinforcement		P
Craving-Positive Reinforcement	pending	aggregate	numeric	cessation	inconsistent	belief	NA	schnoll2011.r	schnoll2011.r_cravingpositivereinforcement		P
intention to quit	intention	question	numeric	cessation	consistent	proxy	NA	schnoll2011.r	schnoll2011.r_intentiontoquit		P
RFS-Reduce Negative Affect	attitude	aggregate	numeric	cessation	inconsistent	belief	NA	schnoll2011.r	schnoll2011.r_rfsreducenegativeaffect		P
RFS-Stimulation	attitude	aggregate	numeric	cessation	inconsistent	belief	NA	schnoll2011.r	schnoll2011.r_rfsstimulation		P
Risk Perception	risk perception	aggregate	numeric	cessation	consistent	belief	NA	schnoll2011.r	schnoll2011.r_riskperception		P
Self-efficacy	self-efficacy	aggregate	numeric	cessation	consistent	belief	NA	schnoll2011.r	schnoll2011.r_selfefficacy		P
ceased smoking	behavior	question	logical	cessation	consistent	behavior	NA	siahpush2003.r	siahpush2003.r_ceasedsmoking		P
friends who smoke	descriptive norm	question	numeric	cessation	inconsistent	belief	NA	siahpush2003.r	siahpush2003.r_friendswhosmoke		P
believe that smoking makes diabetes worse	risk perception	question	numeric	cessation	consistent	belief	NA	stacy1990.r	stacy1990.r_believethatsmokingmakesdiabetesworse		P
cessation	behavior	question	logical	behavior	consistent	belief	NA	stacy1990.r	stacy1990.r_cessation		P
social support to stop	injunctive norm	question	numeric	cessation	consistent	belief	NA	stacy1990.r	stacy1990.r_socialsupporttostop		P
stopping improves diabetes	risk perception	question	numeric	cessation	consistent	belief	NA	stacy1990.r	stacy1990.r_stoppingimprovesdiabetes		P
advertising saying smoking is cool work against quitting motivation	irrelevant	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_advertisingsayingsmokingiscoolworkagainstquittingmotivation		P
avoidance of smokers aids quitting	self-efficacy	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_avoidanceofsmokersaidsquitting		P
balance/yin&yang	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_balanceyinyang		P
being able to affor smoking lifts social status	injunctive norm	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_beingabletoafforsmokingliftssocialstatus		P
breathing problems during exercise when smoking	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_breathingproblemsduringexercisewhensmoking		P
cancer cells explode after quitting, therefore it is better to quit gradually	risk perception	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_cancercellsexplodeafterquittingthereforeitisbettertoquitgradually		P
cigarettes are given as gifts	external factor	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_cigarettesaregivenasgifts		P
cues	external factor	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_cues		P
cultural attitude against smoking motivates to quit	external factor	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_culturalattitudeagainstsmokingmotivatestoquit		P
cultural differences in US	external factor	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_culturaldifferencesinus		P
dependence	external factor	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_dependence		P
desire to be part of the group	injunctive norm	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_desiretobepartofthegroup		P
dislike smell of cigarettes	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_dislikesmellofcigarettes		P
distractions aid quitting	self-efficacy	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_distractionsaidquitting		P
doctors and nurses also smoke	disengagement beliefs	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_doctorsandnursesalsosmoke		P
doctors don't adequatly explain the risks of smoking	peripheral	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_doctorsdontadequatlyexplaintherisksofsmoking		P
entree/business	peripheral	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_entreebusiness		P
etiquette	peripheral	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_etiquette		P
exercise can balance disadvantages of smoking	disengagement beliefs	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_exercisecanbalancedisadvantagesofsmoking		P
felt sick when on two packs a day	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_feltsickwhenontwopacksaday		P
friends smoked	descriptive norm	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_friendssmoked		P
having health problems helps determination to quit	risk perception	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_havinghealthproblemshelpsdeterminationtoquit		P
I haven't smoked long enough to damage my health	risk perception	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_ihaventsmokedlongenoughtodamagemyhealth		P
inadequacy of knowledge alone	peripheral	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_inadequacyofknowledgealone		P
I quit because I was determined	selfregulation	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_iquitbecauseiwasdetermined		P
I smoke outside to prevent exposure to family	peripheral	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_ismokeoutsidetopreventexposuretofamily		P
I will die anyway	disengagement beliefs	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_iwilldieanyway		P
lacked skill to deal with stress	self-efficacy	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_lackedskilltodealwithstress		P
lack of symptoms/abnormal checkup	risk perception	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_lackofsymptomsabnormalcheckup		P
maturity/maleness	peripheral	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_maturitymaleness		P
negative health effects of smoking	risk perception	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_negativehealtheffectsofsmoking		P
not educated enough to absorb health information/lack language	peripheral	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_noteducatedenoughtoabsorbhealthinformationlacklanguage		P
personal willingness/determination	selfregulation	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_personalwillingnessdetermination		P
physical	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_physical		P
pressure from social group motivates quitting	injunctive norm	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_pressurefromsocialgroupmotivatesquitting		P
psychological	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_psychological		P
quitting improves health and looks	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_quittingimproveshealthandlooks		P
quitting in social group builds motivation to quit	injunctive norm	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_quittinginsocialgroupbuildsmotivationtoquit		P
quitting makes you feel uneasy/lonely	attitude	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_quittingmakesyoufeeluneasylonely		P
reduced smoking cues in media	peripheral	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_reducedsmokingcuesinmedia		P
replacing cigarette with other, less harmful thing aids quitting	peripheral	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_replacingcigarettewithotherlessharmfulthingaidsquitting		P
restrictions	peripheral	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_restrictions		P
rules about smoking at home	injunctive norm	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_rulesaboutsmokingathome		P
rules of family/friends	injunctive norm	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_rulesoffamilyfriends		P
smoke to relax from nervousness	attitude	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_smoketorelaxfromnervousness		P
smoke to relieve pressure	attitude	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_smoketorelievepressure		P
smoking brings good luck in business, studies and mahjong	attitude	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_smokingbringsgoodluckinbusinessstudiesandmahjong		P
smoking is fun	attitude	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_smokingisfun		P
smoking is like burning money	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_smokingislikeburningmoney		P
smoking is like drinking, don't do it too much	attitude	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_smokingislikedrinkingdontdoittoomuch		P
smoking is part of social life in china	descriptive norm	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_smokingispartofsociallifeinchina		P
smoking is pleasurable	attitude	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_smokingispleasurable		P
smoking is relaxing	attitude	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_smokingisrelaxing		P
smoking is wasteful	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_smokingiswasteful		P
smoking not allowed in public places	peripheral	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_smokingnotallowedinpublicplaces		P
smoking sooths/relaxes	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_smokingsoothsrelaxes		P
social status	injunctive norm	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_socialstatus		P
stimulates thinking	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_stimulatesthinking		P
there are examples of smoking impacting and not-impacting health	risk perception	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_thereareexamplesofsmokingimpactingandnotimpactinghealth		P
to not accept a cigarette in china is bad form	self-efficacy	question	text	cessation	inconsistent	belief	NA	tu2000.r	tu2000.r_tonotacceptacigaretteinchinaisbadform		P
weight gain/better complexion after quitting	attitude	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_weightgainbettercomplexionafterquitting		P
you don't smoke where it isn't allowed	peripheral	question	text	cessation	consistent	belief	NA	tu2000.r	tu2000.r_youdontsmokewhereitisntallowed		P
attitude	attitude	aggregate	numeric	cessation	consistent	belief	NA	willemsen1996.r	willemsen1996.r_attitude		P
intention to quit	intention	aggregate	numeric	cessation	consistent	belief	NA	willemsen1996.r	willemsen1996.r_intentiontoquit		P
number of daily cigarettes	irrelevant	behavior	numeric	cessation	consistent	belief	NA	willemsen1996.r	willemsen1996.r_numberofdailycigarettes		P
past smoking behavior	irrelevant	question	numeric	cessation	consistent	behavior	NA	willemsen1996.r	willemsen1996.r_pastsmokingbehavior		P
self-efficacy	self-efficacy	aggregate	numeric	cessation	consistent	belief	NA	willemsen1996.r	willemsen1996.r_selfefficacy		P
smoking behavior at work	irrelevant	question	numeric	cessation	consistent	belief	NA	willemsen1996.r	willemsen1996.r_smokingbehavioratwork		P
smoking behavior outside work	irrelevant	aggregate	numeric	cessation	consistent	belief	NA	willemsen1996.r	willemsen1996.r_smokingbehavioroutsidework		P
social pressure at work	injunctive norm	aggregate	numeric	cessation	consistent	belief	NA	willemsen1996.r	willemsen1996.r_socialpressureatwork		P
social pressure outside work	injunctive norm	aggregate	numeric	cessation	consistent	belief	NA	willemsen1996.r	willemsen1996.r_socialpressureoutsidework		P
tolerance toward smoking	moral norm	aggregate	numeric	cessation	consistent	belief	NA	willemsen1996.r	willemsen1996.r_tolerancetowardsmoking		P
